covidtrialID,procedureOMOPID
NCT04398290,36308581
NCT04398290,4168133
NCT04398290,706637
NCT04398290,2103774
NCT04423861,45883741
NCT04363203,706637
NCT04363203,4099958
NCT04363203,4163951
NCT04370782,36308581
NCT04370782,4220084
NCT04323592,45875989
NCT04323592,706637
NCT04323592,4072513
NCT04330638,19025274
NCT04330638,4027509
NCT04330638,4058335
NCT04328961,4144375
NCT04432324,19025274
NCT04432324,35622675
NCT04387760,36310218
NCT04387760,4273629
NCT04337918,4168133
NCT04334460,36308581
NCT04334460,19025274
NCT04334460,4302259
NCT04334460,2149843
NCT04348461,4052536
NCT04348461,4140455
NCT04348461,423913
NCT04348461,3186744
NCT04348461,36310597
NCT04363463,4072513
NCT04363463,19025274
NCT04363463,19025274
NCT04363541,45768197
NCT04261907,19025274
NCT04357444,4072513
NCT04357444,4242257
NCT04357444,4059951
NCT04341727,19025274
NCT04341727,4163951
NCT04341727,4273629
NCT04341727,706637
NCT04412538,4144375
NCT04412538,4132855
NCT04412538,4144375
NCT04412538,4134598
NCT04412538,420705
NCT04412538,4190432
NCT04412538,4314777
NCT04412538,4240345
NCT04412538,2149843
NCT04389840,19025274
NCT04389840,42539565
NCT04389840,35622675
NCT04424134,19025274
NCT04382651,4202832
NCT04421534,19025274
NCT04362137,4202832
NCT04405908,4273629
NCT04405908,4144375
NCT04405908,4144375
NCT04405908,4215685
NCT04405908,4127886
NCT04405908,4001541
NCT04405908,429799
NCT04375202,19025274
NCT04389580,4027509
NCT04389580,45882935
NCT04345614,4013354
NCT04345614,40486624
NCT04345614,4052536
NCT04345614,3037922
NCT04345614,4273629
NCT04345614,4242843
NCT04345614,412012
NCT04345614,4324124
NCT04345614,4272314
NCT04345614,3002644
