covidtrialID,conditionOMOPID
NCT04386551,37311061
NCT04386551,437784
NCT04386551,756039
NCT04412473,37311061
NCT04418544,37311061
NCT04418544,4299535
NCT04418544,4306137
NCT04443673,37311061
NCT04433078,320651
NCT04433078,44783749
NCT04433078,703439
NCT04445935,19025274
NCT04402905,35804595
NCT04402905,37311061
NCT04402905,4319159
NCT04402905,437663
NCT04402905,77074
NCT04402905,100357
NCT04402905,312437
NCT04402905,254761
NCT04402905,4320791
NCT04402905,196523
NCT04402905,31967
NCT04402905,441408
NCT04402905,4289517
NCT04442048,756039
NCT04442048,415316
NCT04442048,437663
NCT04442048,4223659
NCT04442048,254761
NCT04442048,312437
NCT04442048,319052
NCT04442048,434621
NCT04442048,42536486
NCT04442048,45881968
NCT04442048,437233
NCT04442048,443392
NCT04442048,703443
NCT04442048,316866
NCT04442048,412691
NCT04442048,36308337
NCT04442048,316139
NCT04442048,317576
NCT04442048,312723
NCT04442048,321319
NCT04442048,4322024
NCT04442048,255573
NCT04442048,255573
NCT04442048,261325
NCT04442048,255841
NCT04442048,4017188
NCT04442048,4576375
NCT04442048,441267
NCT04442048,4064161
NCT04442048,4170148
NCT04442048,36717536
NCT04442048,45884383
NCT04442048,40757139
NCT04418375,703439
NCT04409535,36308878
NCT04379531,36675701
NCT04418609,37311061
NCT04418609,756039
NCT04418609,44373
NCT04312464,43225
NCT04346953,37311061
NCT04322188,256622
NCT04322188,37311061
NCT04322188,703439
NCT04322188,4195694
NCT04425213,37311061
NCT04425213,37310285
NCT04425213,43225
NCT04425213,40484652
NCT04468256,321319
NCT04468256,416371
NCT04468256,4124693
NCT04468256,4094188
NCT04468256,4236332
NCT04468256,40487105
NCT04468256,4299535
NCT04355702,257628
NCT04461925,4299535
NCT04461925,40218805
NCT04461925,255848
NCT04461925,312437
NCT04409249,4299535
NCT04409249,37311061
NCT04410107,40218805
NCT04410107,4236139
NCT04410107,437663
NCT04410107,4170143
NCT04410107,3188131
NCT04410107,4249557
NCT04410107,4195694
NCT04410107,4195694
NCT04410107,37311061
NCT04445389,4069548
NCT04445389,36308878
NCT04401111,37311061
NCT04401111,43739
NCT04427280,37311061
NCT04427280,703439
NCT04427280,4032806
NCT04427280,4105056
NCT04427280,45881968
NCT04427280,4105056
NCT04378582,37311061
NCT04355442,38004504
NCT04355442,32207
NCT04337502,37311061
NCT04423692,4299535
NCT04424836,319049
NCT04424836,44783749
NCT04424836,4139525
NCT04383587,37311061
NCT04460183,40218805
NCT04460183,37311061
NCT04460183,40757139
NCT04460183,4299535
NCT04374110,37311061
NCT04443179,4299535
NCT04341480,4066212
NCT04367207,37311061
NCT04445220,37047248
NCT04445220,37311061
NCT04445220,19732
NCT04467918,201254
NCT04467918,4289933
NCT04467918,45884896
NCT04467918,317009
NCT04467918,255573
NCT04467918,37054023
NCT04467918,46271022
NCT04467918,43667
NCT04467918,703439
NCT04467918,4142882
NCT04467918,4120014
NCT04467918,37311061
NCT04467918,255848
NCT04367740,37311061
NCT04437706,42035302
NCT04437706,37311061
NCT04366765,703439
NCT04366765,703439
NCT04318418,37311061
NCT04395794,4309345
NCT04395794,703439
NCT04366921,44783749
NCT04366921,255848
NCT04366921,100357
NCT04366921,37394268
NCT04366921,254761
NCT04366921,196523
NCT04384029,703439
NCT04359212,43225
NCT04359212,37311061
NCT04363385,37311061
NCT04359602,440029
NCT04458519,37311061
NCT04458519,443392
NCT04458519,45883361
NCT04458519,37311061
NCT04458519,756039
NCT04458519,4237987
NCT04375761,100357
NCT04375761,317009
NCT04375761,133834
NCT04375761,139902
NCT04337983,45878035
NCT04447131,100357
NCT04447131,36308878
NCT04393402,45878035
NCT04393402,4195694
NCT04406324,43225
NCT04406324,37311061
NCT04398264,37311061
NCT04398264,4299535
NCT04398264,4188598
NCT04444674,4112752
NCT04444674,424375
NCT04444674,706376
NCT04444674,4013106
NCT04444674,45768671
NCT04444674,4232893
NCT04444674,36308878
NCT04444674,100357
NCT04444674,43225
NCT04444674,37311061
NCT04471636,36712853
NCT04471636,703429
NCT04471636,313217
NCT04471636,4008099
NCT04471636,443587
NCT04471636,317576
NCT04471636,4329847
NCT04471636,20182
NCT04471636,4305599
NCT04366830,44783749
